Data read from file:/home/alejandro/CMAQv5.5/data/POST/COMBINE_ACONC_v55_intel_CR2_BASEv01_202409.nc (layer  1)

   Note: Times have been converted to local standard


siteid,column,row,longitude,latitude,date,Time,RH,SFC_TMP,PBLH,WSPD10,WDIR10
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,%,K,m,m s-1,deg
701,28,35,-46.62007,-23.49629,2024-09-09,09:00:00,32.1631,298.879,296.249,1.03810,69.7711
701,28,35,-46.62007,-23.49629,2024-09-09,10:00:00,25.0208,301.488,642.780,1.57251,69.1344
701,28,35,-46.62007,-23.49629,2024-09-09,11:00:00,18.8747,303.142,1482.84,2.20475,72.5679
701,28,35,-46.62007,-23.49629,2024-09-09,12:00:00,15.6807,304.281,2253.60,3.40504,75.7659
701,28,35,-46.62007,-23.49629,2024-09-09,13:00:00,14.1250,304.716,2304.37,3.47180,80.1780
701,28,35,-46.62007,-23.49629,2024-09-09,14:00:00,13.1684,305.067,2311.57,3.25052,72.6357
701,28,35,-46.62007,-23.49629,2024-09-09,15:00:00,14.0647,305.291,2292.13,2.96667,72.4829
701,28,35,-46.62007,-23.49629,2024-09-09,16:00:00,18.9359,305.100,2274.63,2.47106,77.4720
701,28,35,-46.62007,-23.49629,2024-09-09,17:00:00,21.7990,303.959,1142.37,5.14783,112.828
701,28,35,-46.62007,-23.49629,2024-09-09,18:00:00,22.0578,302.725,411.503,5.05798,109.493
701,28,35,-46.62007,-23.49629,2024-09-09,19:00:00,26.5963,301.221,215.894,3.89677,109.134
701,28,35,-46.62007,-23.49629,2024-09-09,20:00:00,31.4333,299.604,216.689,2.68106,80.5077
701,28,35,-46.62007,-23.49629,2024-09-09,21:00:00,34.1598,298.094,211.356,2.00207,83.2754
701,28,35,-46.62007,-23.49629,2024-09-09,22:00:00,33.0356,297.334,168.818,2.02253,69.5428
701,28,35,-46.62007,-23.49629,2024-09-09,23:00:00,31.1353,296.322,92.5364,1.71641,54.7250
701,28,35,-46.62007,-23.49629,2024-09-10,00:00:00,31.8950,295.729,189.556,1.79990,80.6955
701,28,35,-46.62007,-23.49629,2024-09-10,01:00:00,33.3095,295.031,85.5976,1.06450,78.1306
701,28,35,-46.62007,-23.49629,2024-09-10,02:00:00,34.5576,294.598,124.943,1.11853,80.8637
701,28,35,-46.62007,-23.49629,2024-09-10,03:00:00,35.5163,294.158,84.6965,1.22288,93.2866
701,28,35,-46.62007,-23.49629,2024-09-10,04:00:00,35.9380,294.008,25.5167,1.63932,69.3042
